YEAR,QUARTER,MONTH,FL_DATE,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_DISTANCE,,
1,2,4,103,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44,20,54,62,16,58,2,2,1,12,2,12,2,18,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,4,10,217,44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60,33,99,102,35,92,2,3,2,17,4,27,2,11,2
1,1,2,38,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,14,30,31,14,27,1,1,1,4,2,3,2,4,1
1,2,2,35,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,12,22,22,10,22,1,1,1,5,2,4,2,2,1
1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,15,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,10,15,15,8,13,1,1,1,7,2,7,2,2,1
1,1,3,49,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,19,30,32,16,31,1,1,1,8,2,5,2,8,1
1,1,2,46,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,18,34,33,17,33,2,2,1,7,2,6,2,10,1
1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,2,3,1,1,1,2,2,2,2,2,1
1,1,2,26,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,15,22,22,7,23,1,1,1,5,2,7,2,6,1
1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,6,3,5,1,1,1,2,2,2,2,2,1
1,1,3,61,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,14,26,31,13,30,1,1,1,7,2,4,2,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,4,77,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,21,56,54,16,45,2,3,1,7,2,6,2,12,1
1,2,4,111,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,23,40,48,20,48,2,2,1,10,2,8,2,2,1
1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,4,6,5,6,1,1,1,2,2,2,2,2,1
1,2,4,81,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,24,46,45,11,40,2,2,1,6,2,9,2,12,1
1,4,10,183,113,1,1,1,1,1,1,1,2,2,2,2,2,2,2,62,31,78,81,20,69,2,4,1,13,2,14,2,33,1
1,1,3,55,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,23,45,40,17,38,2,2,1,6,2,8,2,9,1
1,1,1,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,6,6,5,6,2,2,1,1,1,1,1,1,1
1,3,6,116,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52,23,54,64,18,60,1,1,1,11,3,8,3,17,1
1,1,1,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,5,6,5,6,1,1,1,1,1,1,1,1,1
1,1,3,52,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,21,34,41,15,39,2,2,1,5,2,7,2,4,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,3,65,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,21,43,47,13,42,2,2,1,11,2,7,2,10,1
1,4,11,245,135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,27,110,117,22,68,2,2,2,16,4,9,2,25,2
1,1,2,22,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,12,18,20,6,18,1,1,1,5,3,2,2,7,1
1,1,2,29,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18,24,21,13,21,2,2,1,4,3,3,2,5,1
1,1,2,42,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,15,30,32,17,31,1,1,1,4,4,7,2,9,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,3,44,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,19,35,31,10,34,2,2,1,4,2,5,2,8,1
1,1,3,38,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,14,21,28,12,26,1,1,1,5,2,3,2,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,24,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,14,19,20,12,21,1,1,1,2,2,2,2,2,1
1,1,1,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,11,9,11,1,1,1,2,2,6,2,6,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,4,77,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,18,29,36,14,39,1,1,1,4,3,7,2,6,1
1,4,9,171,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,27,90,94,22,74,2,2,1,17,3,13,2,22,1
1,4,10,285,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,22,59,75,20,58,2,2,2,19,2,14,2,3,2
1,1,2,43,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,19,30,34,14,34,1,1,1,7,2,7,2,8,1
1,1,2,38,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,15,27,22,12,25,1,1,1,6,2,3,2,4,1
1,2,6,152,91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46,26,80,79,14,58,1,1,1,10,2,11,2,21,1
1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,6,6,6,6,1,1,1,2,2,2,2,2,1
1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,5,5,3,5,1,1,1,3,2,3,2,2,1
1,2,4,107,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46,24,58,57,18,60,2,2,1,14,3,11,2,18,1
1,1,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,4,4,1,1,1,1,1,1,1,1,1
1,2,5,16,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,8,15,15,7,16,1,1,1,3,2,4,2,3,1
1,1,1,15,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,10,12,13,8,12,1,1,1,3,2,3,2,4,1
1,4,12,363,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61,29,86,90,28,78,2,3,1,29,6,17,2,2,1
1,2,5,111,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,22,59,61,21,51,1,1,1,5,2,8,2,7,1
1,3,6,127,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,23,56,70,22,61,2,3,1,13,4,11,2,8,1
1,2,5,16,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,8,15,13,10,15,1,1,1,2,2,3,2,3,1
1,1,1,15,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,13,14,14,11,15,1,1,1,3,3,6,2,4,1
1,2,3,22,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,15,19,20,14,21,1,1,1,3,2,8,2,5,1
1,2,3,51,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,17,35,38,11,41,1,1,2,8,2,6,2,13,2
1,1,2,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,8,10,7,8,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,4,12,114,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,67,26,98,99,24,71,2,3,1,22,3,21,2,28,1
1,3,4,54,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,26,47,45,17,43,2,2,1,14,2,21,2,20,1
1,4,8,92,54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,22,73,75,19,48,2,3,1,12,2,11,2,19,1
1,1,2,27,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,14,26,25,16,23,1,1,1,10,2,14,2,15,1
1,4,9,131,74,1,1,1,1,1,1,1,1,2,1,1,1,1,1,71,25,111,107,24,81,2,2,1,18,7,27,2,31,1
1,4,11,162,85,1,1,1,1,1,1,1,1,2,1,1,1,1,1,77,25,136,139,27,85,2,2,1,26,4,28,2,29,1
1,2,3,46,34,1,1,1,1,1,1,1,1,2,1,1,1,1,1,31,21,37,39,12,38,1,1,1,5,2,10,2,10,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,4,11,105,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58,18,81,80,23,66,2,3,1,24,2,19,2,25,1
1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,7,5,7,1,1,1,3,2,3,2,3,1
1,4,12,212,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79,25,153,156,45,92,2,3,1,16,3,25,2,37,1
1,4,12,205,91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,24,160,153,39,75,2,2,1,16,3,26,2,26,1
1,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,22,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,12,16,20,7,18,1,1,1,3,4,3,2,4,1
1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,2,2,2,2,2,1
